Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,4338.1,4771.1,5009.7,5262.5,5617.1,5718.5,6046.5,6414.4,7582,7965.1,7904.4,7357.9,7875.8,8576,8457.8,8501.7,8382.3,8944.9,8791,9450.9,9755.4,10180.1,10295.3
Ecuador,722.8,757.9,886,1201.3,1123.4,1474,1420.9,1915.8,2220.6,2500.4,2594.2,2909.6,2921.9,3004.9,2954.5,2649.1,2519.5,2458.6,2550.9,2341.2,2359.4,2382.8,2411.3
Guyana,24,27.4,30.7,28.9,38.2,30.1,29.3,34.4,39.1,38.7,37.3,37.1,37.6,38.9,43.3,51.7,57.1,64.4,66.5,71.1,80.3,76.5,78.3
Paraguay,186.9,169.9,163.9,146.5,173.7,154.2,176.6,181.2,181.1,201.3,222.8,253.9,291,320,337.7,370.6,344.4,334.2,364.1,368.5,387.3,372.6,358.9
Peru,1447.6,1414.2,1314.2,1349.5,1321.5,1638.5,1712.4,1659.3,1654.6,2034.9,2216.3,2259.2,2534,2921.4,2889.5,3226.7,2529.2,2496.7,2459.5,2539.1,2511,2657.5,2588.7
Uruguay,860.8,854.1,787.3,685.1,661.8,670.4,700.8,669.4,755.7,772.9,843.1,819.8,894,938.5,968.4,982.2,1006.3,1063,1155.5,1115.6,1144.1,1258.3,1204.2
Venezuela,0.5,0.5,0.4,0.4,0.5,0.9,1.2,1.2,1.2,0.7,0.6,0.7,0.8,1,0.6,0.5,0.2,1.9,2.3,17.4,10.7,2,4.7
Australia,15737.7,16360.8,17064.3,17382,18098.7,18730.7,19731.6,20943.9,21707.6,23342.9,23614.4,23287.3,22471.2,22276,24176.7,26650.2,29183.2,29131,28435.4,29206.3,30633.8,32718.1,32824.2
Fiji,60.6,63.7,57.2,57.4,64.1,56.2,70.5,87.4,56.9,64.8,60.3,63.4,59.6,58.4,76.7,47.9,58.8,77.6,81.4,80.1,74.7,68.8,67.5
New Zealand,2096.1,2048.4,1970.8,1944,1821.2,1799.4,1991,2009.1,1948.7,2045.2,2082.7,2013.9,1958.6,1912.7,1908.3,1968.5,2171.6,2326.2,2540.5,3092.1,3183.3,2905.6,2968.4
Papua New Guinea,87.7,73.4,50.9,46.1,51.6,60.8,60.2,72.6,59.8,75.5,62.6,72.4,104.8,102.2,113.9,107.4,90.2,88.9,86.8,96.8,98.5,88.7,93.7
Afghanistan,...,...,...,...,190.2,171.3,173.2,266.6,232.4,261.5,279.6,275,206.1,190,231.8,185.3,183.6,180.5,197.2,236.3,273.4,278.3,...
Bangladesh,1688.2,1686.9,1636.5,1641.6,1672.7,1695.7,1825.2,1920.8,1897.7,2214,2666.1,2825.6,2972.4,2962.1,3166.1,3576.7,3930.9,3830.1,4217,4814.9,4896.1,4965.8,4970.8
India,30792.6,31865.1,31766.5,32475.7,37723.5,40146.3,40471.5,40960.4,46459.4,54698.7,54918.7,55423.4,55142.1,55178.6,57867.1,58416.9,64374.7,68909.5,71336.2,76372.3,76835.6,76348.5,80955.8
Nepal,115.8,149.7,199.3,222.2,265.3,293.4,276.1,265.7,280.2,314.2,329.7,340.8,323.3,354.4,400.5,384.6,408.6,470.2,461.3,446.6,458.8,450.7,433.7
Pakistan,4955,5300.7,5700.4,6091.5,6341.8,6600.6,6709.8,6756.5,6370,6564.6,6864.4,7236.1,7673.9,7937.3,8348.7,9068.9,9379.2,10382,11705.1,11553.6,11355,11836.4,11600.4
Sri Lanka,1558.6,1301.2,1076.5,968.1,1078.7,998.2,1152.6,1411.6,1616,1669.2,1555.7,1631.5,1472.8,1512.4,1773.4,1911.4,1667.9,1736.7,1592.1,1609.9,1499.2,1702.9,1169.9
China,45586.1,54052.9,62082.2,67187.9,74005.6,81267.8,93544.5,102829.8,112507.1,136520.5,143244.6,153775.4,169575.1,183362.6,197998.8,213542.4,225835.1,239724.3,253766.4,266129.3,278673.3,285930.5,297999
Japan,45779.8,46581.2,46813.2,46872.4,46685.2,46600.8,46006.9,45408.9,44971.9,45814.4,45978.4,46599.9,46034.9,45844.6,46335.4,47149.4,46869.3,46559.2,48903,50293.9,49862.8,50957.5,53946.5
"Korea, North",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"Korea, South",22147.3,22780.7,23408.5,24204.3,25267.7,27327.7,28312.6,29594.9,31530.9,33513.3,33791.8,34254.8,35127,36191.1,37614.8,39076,40055.1,40791.9,42860.7,46313.5,48750.3,50873.8,49618.3
Mongolia,52.2,47.8,52.3,49.5,53.9,52.2,63.9,83.5,76.7,49.6,62,84.7,103.6,95.9,103.5,102.7,105.1,104.1,108.2,111.1,120.6,108.3,103.2
